"","Price"
"2020-07-07",2485
"2020-07-08",2485
"2020-07-09",2485
"2020-07-10",2485
"2020-07-13",2485
"2020-07-14",2485
"2020-07-15",2485
"2020-07-16",2485
"2020-07-17",2485
"2020-07-20",2485
"2020-07-21",2485
"2020-07-22",2485
"2020-07-23",2485
"2020-07-24",2485
"2020-07-27",2485
"2020-07-28",2485
"2020-07-29",2485
"2020-07-30",2485
"2020-07-31",2485
"2020-08-03",2485
"2020-08-04",2485
"2020-08-05",2485
"2020-08-06",2485
"2020-08-07",2485
"2020-08-10",2485
"2020-08-11",2485
"2020-08-12",2485
"2020-08-13",2485
"2020-08-14",2485
"2020-08-18",2485
"2020-08-19",2485
"2020-08-20",2485
"2020-08-21",2485
"2020-08-24",2485
"2020-08-25",2485
"2020-08-26",2485
"2020-08-27",2485
"2020-08-28",2485
"2020-08-31",2485
"2020-09-01",2485
"2020-09-02",2485
"2020-09-03",2485
"2020-09-04",2485
"2020-09-07",2485
"2020-09-08",2485
"2020-09-09",2485
"2020-09-10",2485
"2020-09-11",2485
"2020-09-14",2485
"2020-09-15",2485
"2020-09-16",2485
"2020-09-17",2485
"2020-09-18",2485
"2020-09-21",2485
"2020-09-22",2485
"2020-09-23",2485
"2020-09-24",2485
"2020-09-25",2485
"2020-09-28",2485
"2020-09-29",2485
"2020-10-05",2485
"2020-10-06",2485
"2020-10-07",2485
"2020-10-08",2485
"2020-10-12",2485
"2020-10-13",2485
"2020-10-14",2485
"2020-10-15",2485
"2020-10-16",2485
"2020-10-19",2485
"2020-10-20",2485
"2020-10-21",2485
"2020-10-22",2485
"2020-10-23",2485
"2020-10-26",2485
"2020-10-27",2485
"2020-10-28",2485
"2020-10-29",2485
"2020-10-30",2485
"2020-11-02",2485
"2020-11-03",2485
"2020-11-04",2485
"2020-11-05",2485
"2020-11-06",2485
"2020-11-09",2485
"2020-11-10",2485
"2020-11-11",2485
"2020-11-12",2485
"2020-11-13",2485
"2020-11-16",2485
"2020-11-17",2485
"2020-11-18",2485
"2020-11-19",2485
"2020-11-20",2485
"2020-11-23",2485
"2020-11-24",2485
"2020-11-25",2485
"2020-11-26",2485
"2020-11-27",2485
"2020-11-30",2485
"2020-12-01",2485
"2020-12-02",2485
"2020-12-03",2485
"2020-12-04",2485
"2020-12-07",2485
"2020-12-08",2485
"2020-12-09",2485
"2020-12-10",2485
"2020-12-11",2485
"2020-12-14",2485
"2020-12-15",2485
"2020-12-16",2485
"2020-12-17",2485
"2020-12-18",2485
"2020-12-21",2485
"2020-12-22",2485
"2020-12-23",2485
"2020-12-24",2485
"2020-12-28",2485
"2020-12-29",2485
"2020-12-30",2485
"2021-01-04",2485
"2021-01-05",2485
"2021-01-06",2485
"2021-01-07",2485
"2021-01-08",2485
"2021-01-11",2485
"2021-01-12",2485
"2021-01-13",2485
"2021-01-14",2485
"2021-01-15",2485
"2021-01-18",2485
"2021-01-19",2485
"2021-01-20",2485
"2021-01-21",2485
"2021-01-22",2485
"2021-01-25",2485
"2021-01-26",2485
"2021-01-27",2485
"2021-01-28",2485
"2021-01-29",2485
"2021-02-01",2485
"2021-02-02",2485
"2021-02-03",2485
"2021-02-04",2485
"2021-02-05",2485
"2021-02-08",2485
"2021-02-09",2485
"2021-02-10",2485
"2021-02-15",2485
"2021-02-16",2485
"2021-02-17",2485
"2021-02-18",2485
"2021-02-19",2485
"2021-02-22",2485
"2021-02-23",2485
"2021-02-24",2485
"2021-02-25",2485
"2021-02-26",2485
"2021-03-02",2485
"2021-03-03",2485
"2021-03-04",2485
"2021-03-05",2485
"2021-03-08",2485
"2021-03-09",2485
"2021-03-10",2485
"2021-03-11",2485
"2021-03-12",2485
"2021-03-15",2485
"2021-03-16",2485
"2021-03-17",2485
"2021-03-18",2485
"2021-03-19",2485
"2021-03-22",2485
"2021-03-23",2485
"2021-03-24",2485
"2021-03-25",2485
"2021-03-26",2485
"2021-03-29",2485
"2021-03-30",2485
"2021-03-31",2485
"2021-04-01",2485
"2021-04-02",2485
"2021-04-05",2485
"2021-04-06",2485
"2021-04-07",2485
"2021-04-08",2485
"2021-04-09",2485
"2021-04-12",2485
"2021-04-13",2485
"2021-04-14",2485
"2021-04-15",2485
"2021-04-16",2485
"2021-04-19",2485
"2021-04-20",2485
"2021-04-21",2485
"2021-04-22",2485
"2021-04-23",2485
